Address;City;ContactName;Country;Customer;CustomerID;Phone;PostalCode;WorldMap.Name
67, rue des Cinquante Otages;Nantes;Pierre Chardin;France;Aujourd´hui;18;40.67.88.88;44000;FRA
184, chaussée de Tournai;Lille;Jaques Wilneuve;France;Champes;23;20.16.10.16;59000;FRA
8 Johnstown Road;Cork;Robert Bolero;Irlande;Boleros;37;;12580;IRL
Strada Provinciale 124;Reggio Emilia;Anna Bella;Italie;Sport Shop;66;0522-556721;42100;ITA
Via Ludovico il Moro 22;Bergamo;Luca Brassi;Italie;La Moda d'il Futuri;49;035-640230;24100;ITA
Via Monte Bianco 34;Torino;Don Corleone;Italie;Il Pantaloni di la Cammorra;27;011-4988260;10100;ITA
Avda. Azteca 123;México D.F.;Peloto Gomez;Espagne;Don Balón;80;(5) 555-2933;5033;ESP
Avda. de la Constitución 2222;México D.F.;Paco el Maco;Espagne;La Tienda de la Esquina;2;(5) 555-4729;5021;ESP
C/ Ritual de lo Habitual  2312;México D.F.;Sancho Panza;Espagne;La Ropa Vieja;3;(5) 555-3932;5023;ESP
Calle Dr. Jorge Cash 321;México D.F.;Francisca Font Barceló;Espagne;La Moda Pasada;58;(5) 552-3745;5033;ESP
El Barrio Chino 12;México D.F.;Speedy Gonzales;Espagne;Los Sombreros Gigantes;13;(5) 555-3392;5021;ESP
Erling Skakkes gate 78;Stavern;Akkurat Jonny;Norvège;Alles Lusekofter;70;07-98 92 35;4110;NOR
ul. Filtrowa 68;Warszawa;Boniekk Wallessa;Poland;Slotzy Danz;91;(26) 642-7012;;POL
Estrada da saúde n. 58;Lisbonne;Leopoldo Samba;Portugal;La Roba do Santho;60;(1) 356-5634;1756;PRT
Jardim das rosas n. 32;Lisbonne;Vitor Baiha;Portugal;El Traige do Benfica;28;(1) 354-2534;1675;PRT
Åkergatan 24;Bräcke;Linda Haglund;Suède;Fritid AB;24;0695-34 67 21;;SWE
Berguvsvägen  8;Luleå;Urra Gurra Aktersnurra;Suède;Urras Shop;5;0921-12 34 65;;SWE
Gatauppochner. 1;Stockholm;Staffan Blond;Suède;Stephanies;127;(8) 10 20 30;11111;SWE
Grenzacherweg 237;Genève;Carl Perry;Switzerland;Golden Design Group;68;0897-034214;1203;CHE
Hauptstr. 29;Bern;Alfred Neumann;Switzerland;Das Alpen Shoe;14;0452-076545;3012;CHE
12  Brewery;Londres;Ian Wright;UK;The sharped dressed man;16;(171) 555-2282;;GBR
35 King George;Londres;Greg Thatcher;UK;Th Fashing;19;(171) 555-0297;;GBR
90 Wadhurst Rd.;Londres;Ray Banned;UK;Fast Sunglasses;72;(171) 555-1717;;GBR
120 Hanover Sq.;Londres;Carl Montgomery;UK;Dr Jims Trousers;4;(171) 555-7788;;GBR
300 Queensbridge;Londres;John Cleez;UK;Fawtly Towers;53;(171) 555-7733;;GBR
Crowther Way;Cowes;Al Yankovic;UK;King Size Clothes;38;(198) 555-8888;;GBR
Fauntleroy Circus;Londres;David Foot;UK;Shoe Expert;11;(171) 555-1212;;GBR
12 Orchestra Terrace;Walla Walla;Klaus Tarantino;France;For The Dark Night;43;(509) 555-7969;99362;FRA
55 Grizzly Peak Rd.;Butte;Mary Stone;France;TTT-The Ticky Tie;78;(406) 555-5834;59801;FRA
89 Chiaroscuro Rd.;Portland;Andrea Pamelsson;France;Too Hot 4U;48;(503) 555-9573;97219;FRA
187 Suffolk Ln.;Boise;Perry Farell;France;Sunny Ski Store;71;(208) 555-8097;83720;FRA
516 Main St.;Elgin;Marcellus Wallace;France;Pulp Toxedos;36;(503) 555-6874;97827;FRA
722 DaVinci Blvd.;Kirkland;Mark Stark;France;Bond Ltd;82;(206) 555-8257;98034;FRA
2732 Baker Blvd.;Eugene;Ross The Boss;France;The Corner Store;32;(503) 555-7555;97403;FRA
2743 Bering St.;Anchorage;Al Bundy;UK;SSS-Sport Shoes Store;55;(907) 555-7584;99508;GBR
2817 Milton Dr.;Albuquerque;Malcolm X;UK;X-Site;65;(505) 555-5939;87110;GBR
P.O. Box 555;Lander;Paul Smith;UK;Macalena;75;(307) 555-4680;82520;GBR
Suite 2;Portland;Charles Oakley;UK;Eye Fashion;77;(503) 555-3612;97201;GBR
Suite 3B;Seattle;Alice Chain;Irlande;Nirvana Stores;89;(206) 555-4112;98128;IRL
Suite 5;San Francisco;Vincent Vega;Irlande;Bobby Socks;45;(415) 555-5938;94117;IRL
5ª Ave. Los Palos Grandes;Caracas;Antonio Palmer Amer;Espagne;El Abrigo Mortal;33;(2) 283-2951;1081;ESP
Ave. 5 de Mayo Porlamar;I. de Margarita;Andrés Barbanegra;Espagne;El Pirata;47;(8) 34-56-12;4980;ESP
Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Nicolas Balines;Espagne;El Zapato Rojo;35;(5) 555-1340;5022;ESP
Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Tony Montana;Espagne;Los Vatos Locos;46;(9) 331-6954;3508;ESP
Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Nicolas Balines;Italie;El Zapato Rojo;35;(5) 555-1340;5022;ITA
Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Tony Montana;Italie;Los Vatos Locos;46;(9) 331-6954;3508;ITA
